时间,沪深300指数:涨跌幅
2006-05-11,-0.860867
2006-05-12,3.28453
2006-05-15,4.312262
2006-05-16,-1.555147
2006-05-17,0.330246
2006-05-18,-0.323619
2006-05-19,2.621392
2006-05-22,0.554646
2006-05-23,-4.078115
2006-05-24,-0.7143
2006-05-25,-0.041659
2006-05-26,1.783517
2006-05-29,2.649998
2006-05-30,0.91225
2006-05-31,-0.965
2006-06-01,2.741072
2006-06-02,-0.909772
2006-06-05,0.938555
2006-06-06,-0.286567
2006-06-07,-5.639814
2006-06-08,0.435226
2006-06-09,-2.397776
2006-06-12,0.269281
2006-06-13,0.046699
2006-06-14,-1.108855
2006-06-15,0.117223
2006-06-16,2.53815
2006-06-19,1.280946
2006-06-20,0.249458
2006-06-21,-0.350539
2006-06-22,-0.148403
2006-06-23,0.592766
2006-06-26,1.789322
2006-06-27,0.035426
2006-06-28,-0.074126
2006-06-29,2.365497
2006-06-30,-0.083218
2006-07-03,1.89137
2006-07-04,-0.655834
2006-07-05,-1.275963
2006-07-06,1.842486
2006-07-07,-0.581247
2006-07-10,0.120176
2006-07-11,0.45683
2006-07-12,0.043988
2006-07-13,-5.151568
2006-07-14,0.820229
2006-07-17,1.114485
2006-07-18,0.084678
2006-07-19,-2.677412
2006-07-20,0.639662
2006-07-21,0.805757
2006-07-24,0.154052
2006-07-25,1.181632
2006-07-26,-0.209217
2006-07-27,-1.148549
2006-07-28,-1.044008
2006-07-31,-3.508666
2006-08-01,-0.94806
2006-08-02,-0.54358
2006-08-03,-0.262256
2006-08-04,-2.34607
2006-08-07,-1.433762
2006-08-08,2.310592
2006-08-09,-0.086874
2006-08-10,1.612326
2006-08-11,0.328831
2006-08-14,-2.346483
2006-08-15,1.616895
